기준년월,시장 번호,시장명,카드이용자수,카드이용건수,카드이용금액,카드이용자수: 남,카드이용자수: 여,카드이용자수: 20대 이하,카드이용자수: 30대,카드이용자수: 40대,카드이용자수: 50대 이상,카드이용자수: ~1km,카드이용자수: 1~3km,카드이용자수: 3~5km,카드이용자수: 5km~,카드이용금액: 주말,카드이용금액: 주중,카드이용금액: 8~18시,카드이용금액: 18시~8시
2014,1,제주 동문시장,85686,174498,16901792933,37656,36777,8155,20183,17358,29990,3490,10249,5162,56822,2927069527,13974723406,14679209222,2152264801
2015,1,제주 동문시장,143526,284223,22896627341,63087,64524,21888,37691,27454,41307,3945,11525,5838,107064,4496075255,18400552086,19460984705,3336297726
2016,1,제주 동문시장,170819,322070,23243065598,74661,78267,31338,40848,32931,48011,4905,13527,6804,127904,4848489965,18394575633,19519521143,3593884845
2014,2,제주 서문시장,4331,7796,515384831,2285,1169,296,839,912,1465,551,876,604,1481,131074890,384309941,215174671,297303660
2015,2,제주 서문시장,6206,11107,726668519,3392,1785,638,1258,1350,1963,730,1176,823,2481,191122250,535546269,303827369,422015150
2016,2,제주 서문시장,6851,11001,721327107,3677,1983,864,1394,1485,1935,789,1188,797,2906,184353300,536973807,308540304,412181553
2014,3,제주 보성시장,5529,9848,386447731,2986,1816,504,1295,1361,1730,1011,1483,752,1644,84107890,302339841,259394031,127037400
2015,3,제주 보성시장,6713,13112,542409651,3615,2252,639,1443,1690,2141,1186,1788,894,2047,130494309,411915342,343256752,199152899
2016,3,제주 보성시장,8193,14309,526394492,4436,2700,773,1658,2069,2651,1469,2106,1115,2460,138974942,387419550,324778142,201451800
2014,4,서귀포 매일올레시장,47225,99105,7449225162,20368,20368,5287,13256,9586,13223,3218,2788,1742,33625,1909087820,5540137342,4816233490,2487105732
2015,4,서귀포 매일올레시장,93045,192320,10891702632,40666,42703,16864,28768,17729,20435,3904,3628,2157,74135,2966438414,7925264218,6596379896,4137414866
2016,4,서귀포 매일올레시장,129141,253271,12558053430,56835,59025,29087,36525,23937,26415,5130,4718,2715,103404,3644307422,8913746009,7189945721,5095388975
2014,5,모슬포 중앙시장,1060,2230,218361793,420,445,79,146,267,390,199,30,82,571,24456300,193905493,183226312,35135481
2015,5,모슬포 중앙시장,1879,4429,342261160,853,713,152,305,512,611,321,68,125,1067,60567910,281693250,236702750,105558410
2016,5,모슬포 중앙시장,2433,5454,396672609,1151,866,198,407,587,851,417,71,150,1404,96652470,300020139,260435874,136236735
2014,6,서귀포 향토5일시장,2059,5335,529554960,925,813,43,211,515,1008,98,720,164,795,90694470,438860490,490448330,39106630
2015,6,서귀포 향토5일시장,2498,6695,630593382,1115,1048,62,269,627,1215,121,818,203,1031,110338680,520254702,572040002,58553380
2016,6,서귀포 향토5일시장,4337,10739,857960895,1925,1751,156,791,1098,1640,216,1334,381,1754,196689615,661271280,671582190,186291705
2014,7,제주 민속5일시장,805,1155,177846860,356,293,51,141,176,295,26,99,118,420,21354000,156492860,172986360,4830500
2015,7,제주 민속5일시장,1299,1805,250818050,548,522,96,234,275,474,39,150,125,764,31375000,219443050,242391050,8427000
2016,7,제주 민속5일시장,1937,2568,276304698,822,779,170,401,396,639,39,191,153,1223,43749750,232554948,257779698,18525000
2014,8,중문 향토5일시장,70,110,5925000,38,13, - ,4,26,21,15,9,5,22,1058000,4867000,4216000,1709000
2015,8,중문 향토5일시장,122,159,8054000,65,26,3,9,33,46,24,13,7,47,1727000,6327000,4473500,3580500
2016,8,중문 향토5일시장,321,543,24873750,191,62,15,41,86,114,78,32,5,141,5095500,19778250,7833000,17040750
