구분,2016년 사업체 수,2017년 사업체 수,2016년 종사자 수,2017년 종사자 수,데이터기준일자
서귀포시,14770,15462,61953,64307,2018-03-07
대정읍,1604,1713,6221,6193,2018-03-07
남원읍,1141,1188,4416,4564,2018-03-07
성산읍,1489,1565,5172,5331,2018-03-07
안덕면,933,1013,4148,5282,2018-03-07
표선면,1164,1211,4310,4556,2018-03-07
송산동,396,383,1534,1614,2018-03-07
정방동,563,624,1996,1946,2018-03-07
중앙동,1250,1285,3633,3737,2018-03-07
천지동,673,718,2252,2271,2018-03-07
효돈동,287,297,1400,1397,2018-03-07
영천동,473,490,3315,3582,2018-03-07
동홍동,1888,1872,6727,6927,2018-03-07
서홍동,517,537,2382,3079,2018-03-07
대륜동,731,755,5117,4636,2018-03-07
대천동,469,570,2113,2297,2018-03-07
중문동,765,793,3199,3200,2018-03-07
예래동,427,448,4018,3695,2018-03-07
