"시도별(1)",2018. 01,2018. 02,2018. 03,2018. 04,2018. 05,2018. 06,2018. 07,2018. 08,2018. 09,2018. 10,2018. 11,2018. 12
"시도별(1)",발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건),발생건수 (건)
"서울",3192,2973,3072,3219,3454,3253,3321,3203,3144,3500,3243,3221
"부산",965,859,1019,963,1016,969,1030,1021,1007,1029,1039,1020
"경기",4405,4327,3932,4327,4445,4397,4610,4359,4504,4845,4765,4532
"강원",588,522,526,593,662,635,663,717,683,678,654,577
"충북",621,692,763,821,787,818,855,841,820,881,934,785
"충남",596,632,713,773,799,725,745,756,767,831,742,728
"전북",533,489,549,605,599,569,555,585,623,652,626,544
"전남",668,665,762,841,843,798,863,859,857,984,843,804
"경북",1023,961,1097,1204,1212,1169,1240,1236,1223,1282,1200,1119
"경남",859,807,952,958,968,967,996,961,970,1091,990,974
"제주",331,269,371,332,351,391,383,377,338,355,402,339
"대구",1044,908,1030,1105,1165,1116,1152,1130,1122,1131,1198,1098
"인천",694,636,585,613,666,606,671,598,679,674,611,599
"광주",562,515,607,598,645,618,639,639,643,666,672,655
"대전",547,567,599,622,630,645,617,673,623,684,709,638
"울산",341,313,364,330,318,337,297,328,318,390,336,320
"세종",57,73,81,88,76,69,62,52,50,65,65,57
